CLUSTER,TOKEN,R,ROC_AUC,DOMAIN,FREQUENCY
1,memory,0.1860526428176023,0.6323419733964064,MEMORY,3220.0
1,episodic_memory,0.17063319395193988,0.6323419733964064,MEMORY,2958.0
1,retrieval,0.1602867123593612,0.6323419733964064,MEMORY,2679.0
1,recognition_memory,0.1554097086007628,0.6323419733964064,MEMORY,1793.0
1,remembering,0.15083886859770707,0.6323419733964064,MEMORY,1938.0
1,declarative_memory,0.14495324487455807,0.6323419733964064,MEMORY,909.0
1,recognition,0.14238804559347173,0.6323419733964064,MEMORY,2689.0
1,familiarity,0.13527937272536766,0.6323419733964064,MEMORY,2778.0
1,encoding,0.13123341683841516,0.6323419733964064,MEMORY,2261.0
1,semantic_memory,0.12963977427472562,0.6323419733964064,MEMORY,1363.0
1,recall,0.12522199429796632,0.6323419733964064,MEMORY,3304.0
1,episodic_simulation,0.11931906150738965,0.6323419733964064,MEMORY,130.0
1,source_memory,0.11871232541671613,0.6323419733964064,MEMORY,826.0
1,autobiographical_memory,0.1162835834658022,0.6323419733964064,MEMORY,1163.0
1,semantic_knowledge,0.11513021828565513,0.6323419733964064,MEMORY,1117.0
1,encoding_task,0.1132732074656792,0.6323419733964064,MEMORY,619.0
1,picture,0.11304616619966185,0.6323419733964064,MEMORY,2490.0
1,semantic_processing,0.10414962578836684,0.6323419733964064,MEMORY,2267.0
1,memory_process,0.10404196131882752,0.6323419733964064,MEMORY,879.0
1,spatial_memory,0.10319764494560377,0.6323419733964064,MEMORY,712.0
1,memory_retrieval,0.10137400062580533,0.6323419733964064,MEMORY,1739.0
1,semantic_information,0.10135681689367043,0.6323419733964064,MEMORY,1090.0
1,forgetting,0.09948781659087684,0.6323419733964064,MEMORY,671.0
1,longterm_memory,0.09843166893288212,0.6323419733964064,MEMORY,1601.0
1,remote_memory,0.09812348593836126,0.6323419733964064,MEMORY,143.0
2,emotion,0.21474114688441606,0.6667162520016128,EMOTION,3290.0
2,valence,0.20747294650389272,0.6667162520016128,EMOTION,2160.0
2,fear,0.2014947474888477,0.6667162520016128,EMOTION,1964.0
2,arousal,0.1808585964773328,0.6667162520016128,EMOTION,3524.0
2,reward,0.1690177342479302,0.6667162520016128,EMOTION,2220.0
2,facial_expression,0.16163620089704162,0.6667162520016128,EMOTION,1798.0
2,negative_emotion,0.14476413861643234,0.6667162520016128,EMOTION,1746.0
2,emotional_memory,0.14288416147861172,0.6667162520016128,EMOTION,728.0
2,reward_processing,0.14055127013424032,0.6667162520016128,EMOTION,1540.0
2,memory,0.13952921577678604,0.6667162520016128,EMOTION,3220.0
2,anxiety,0.13419395701709216,0.6667162520016128,EMOTION,2600.0
2,sadness,0.13010768303181616,0.6667162520016128,EMOTION,1348.0
2,extinction,0.12809233307601905,0.6667162520016128,EMOTION,964.0
2,declarative_memory,0.12468807388806152,0.6667162520016128,EMOTION,909.0
2,disgust,0.1246491544407644,0.6667162520016128,EMOTION,1240.0
2,international_affective_picture_system,0.12448691524866712,0.6667162520016128,EMOTION,693.0
2,autobiographical_memory,0.12219328986948835,0.6667162520016128,EMOTION,1163.0
3,reward,0.18352744763279927,0.6241154752378526,ANTICIPATION,2220.0
3,anticipation,0.1724920085055944,0.6241154752378526,ANTICIPATION,2860.0
3,reward_processing,0.1410391815092754,0.6241154752378526,ANTICIPATION,1540.0
3,reward_anticipation,0.13292190832081724,0.6241154752378526,ANTICIPATION,777.0
3,arousal,0.12474414798244407,0.6241154752378526,ANTICIPATION,3524.0
3,pain,0.11223650694763336,0.6241154752378526,ANTICIPATION,1123.0
3,expectancy,0.11201024739328796,0.6241154752378526,ANTICIPATION,1689.0
3,monetary_incentive_delay_task,0.10929179619023263,0.6241154752378526,ANTICIPATION,310.0
3,decision_making,0.10575039827954884,0.6241154752378526,ANTICIPATION,3159.0
3,salience,0.10043934919136273,0.6241154752378526,ANTICIPATION,3622.0
3,feedback,0.09803805345223432,0.6241154752378526,ANTICIPATION,2419.0
3,painful_stimulation,0.0955292759283236,0.6241154752378526,ANTICIPATION,391.0
3,heat,0.09215666728031784,0.6241154752378526,ANTICIPATION,659.0
3,monitoring,0.09079278411495062,0.6241154752378526,ANTICIPATION,2955.0
3,valence,0.0905310926542648,0.6241154752378526,ANTICIPATION,2160.0
3,interoception,0.08896234680234386,0.6241154752378526,ANTICIPATION,818.0
3,instrumental_conditioning,0.08720450416603018,0.6241154752378526,ANTICIPATION,325.0
3,reinforcement_learning,0.08392786619600877,0.6241154752378526,ANTICIPATION,717.0
3,reward_learning,0.08356206139122888,0.6241154752378526,ANTICIPATION,463.0
3,taste,0.0811475834061828,0.6241154752378526,ANTICIPATION,960.0
3,error_detection,0.08076292008443718,0.6241154752378526,ANTICIPATION,1266.0
3,nociception,0.07582968883478762,0.6241154752378526,ANTICIPATION,237.0
3,motor_control,0.07320981525748071,0.6241154752378526,ANTICIPATION,2560.0
4,working_memory,0.14552642988310616,0.6215820249413595,COGNITIVE,3909.0
4,manipulation,0.13818920797588294,0.6215820249413595,COGNITIVE,5395.0
4,execution,0.1366951977918902,0.6215820249413595,COGNITIVE,3460.0
4,reaction_time,0.12955314415477634,0.6215820249413595,COGNITIVE,4775.0
4,monitoring,0.12835726248811946,0.6215820249413595,COGNITIVE,2955.0
4,rehearsal,0.12167876284073302,0.6215820249413595,COGNITIVE,1142.0
4,strategy,0.1214680628215708,0.6215820249413595,COGNITIVE,3998.0
4,cognitive_process,0.11986899769117333,0.6215820249413595,COGNITIVE,4925.0
4,response_selection,0.11405188859429576,0.6215820249413595,COGNITIVE,1797.0
4,attention,0.1134937088177482,0.6215820249413595,COGNITIVE,4350.0
4,goal,0.1128768879910988,0.6215820249413595,COGNITIVE,2979.0
4,cognitive_control,0.10792640413599798,0.6215820249413595,COGNITIVE,3250.0
4,retrieval,0.10702160727108964,0.6215820249413595,COGNITIVE,2679.0
4,action,0.10693500392505743,0.6215820249413595,COGNITIVE,2560.0
4,covert,0.1039277724247697,0.6215820249413595,COGNITIVE,1772.0
4,intention,0.09933637815402037,0.6215820249413595,COGNITIVE,2757.0
4,task_set,0.0979331501370742,0.6215820249413595,COGNITIVE,816.0
4,hand,0.09511130395808767,0.6215820249413595,COGNITIVE,3393.0
4,spatial_working_memory,0.09412245667481343,0.6215820249413595,COGNITIVE,1498.0
4,maintenance,0.09363231685761966,0.6215820249413595,COGNITIVE,3738.0
4,mental_representation,0.09357858829206332,0.6215820249413595,COGNITIVE,1116.0
4,cognitive,0.0932714588200669,0.6215820249413595,COGNITIVE,5534.0
4,memory,0.09311651843617194,0.6215820249413595,COGNITIVE,3220.0
4,imagination,0.09297242022311857,0.6215820249413595,COGNITIVE,948.0
4,spatial_attention,0.09273442279540987,0.6215820249413595,COGNITIVE,2072.0
5,motor_control,0.1517168058468577,0.5850173171268801,EXECUTION,2560.0
5,movement,0.13243066708506335,0.5850173171268801,EXECUTION,2742.0
