CLUSTER,TOKEN,R,ROC_AUC,DOMAIN,FREQUENCY
1,retrieval,0.11255997182107436,0.6339795838276006,MANIPULATION,2679.0
1,memory,0.11108915828649148,0.6339795838276006,MANIPULATION,3220.0
1,remembering,0.10340062599676768,0.6339795838276006,MANIPULATION,1938.0
1,manipulation,0.09921601629169716,0.6339795838276006,MANIPULATION,5395.0
1,context,0.09708122856799042,0.6339795838276006,MANIPULATION,3806.0
1,familiarity,0.09582718464192848,0.6339795838276006,MANIPULATION,2778.0
1,strategy,0.09122658706387753,0.6339795838276006,MANIPULATION,3998.0
1,episodic_simulation,0.08995458821076391,0.6339795838276006,MANIPULATION,130.0
1,word,0.08977768968812269,0.6339795838276006,MANIPULATION,3008.0
1,goal,0.08919743267840183,0.6339795838276006,MANIPULATION,2979.0
1,covert,0.08905609981171883,0.6339795838276006,MANIPULATION,1772.0
1,monitoring,0.08766925054512847,0.6339795838276006,MANIPULATION,2955.0
1,rehearsal,0.08678817950507811,0.6339795838276006,MANIPULATION,1142.0
1,source_memory,0.0866598316509512,0.6339795838276006,MANIPULATION,826.0
1,memory_retrieval,0.08553396792568396,0.6339795838276006,MANIPULATION,1739.0
1,encoding,0.0846218018775656,0.6339795838276006,MANIPULATION,2261.0
1,judgment,0.08455852449271545,0.6339795838276006,MANIPULATION,2967.0
1,imagination,0.08422646930563699,0.6339795838276006,MANIPULATION,948.0
1,semantic_processing,0.08414232803725162,0.6339795838276006,MANIPULATION,2267.0
1,recognition,0.0832714670273171,0.6339795838276006,MANIPULATION,2689.0
1,episodic_memory,0.08198626991391972,0.6339795838276006,MANIPULATION,2958.0
1,reaction_time,0.08015629630960437,0.6339795838276006,MANIPULATION,4775.0
1,cognitive_process,0.08015467160708681,0.6339795838276006,MANIPULATION,4925.0
1,language,0.08001554819599396,0.6339795838276006,MANIPULATION,2667.0
1,autobiographical_memory,0.07938471686252904,0.6339795838276006,MANIPULATION,1163.0
2,motor_control,0.1041313307275771,0.5817486090198927,MOVEMENT,2560.0
2,ataxia,0.08929402655082949,0.5817486090198927,MOVEMENT,352.0
2,motor_learning,0.08851643060004563,0.5817486090198927,MOVEMENT,977.0
2,movement,0.08083863690148076,0.5817486090198927,MOVEMENT,2742.0
2,coordination,0.07905528709299504,0.5817486090198927,MOVEMENT,2376.0
