CLUSTER,TOKEN,R,ROC_AUC,DOMAIN,FREQUENCY
1,memory,0.1860526428176023,0.6323419733964064,MEMORY,3220.0
1,episodic_memory,0.17063319395193988,0.6323419733964064,MEMORY,2958.0
1,retrieval,0.1602867123593612,0.6323419733964064,MEMORY,2679.0
1,recognition_memory,0.1554097086007628,0.6323419733964064,MEMORY,1793.0
1,remembering,0.15083886859770707,0.6323419733964064,MEMORY,1938.0
1,declarative_memory,0.14495324487455807,0.6323419733964064,MEMORY,909.0
1,recognition,0.14238804559347173,0.6323419733964064,MEMORY,2689.0
1,familiarity,0.13527937272536766,0.6323419733964064,MEMORY,2778.0
1,encoding,0.13123341683841516,0.6323419733964064,MEMORY,2261.0
1,semantic_memory,0.12963977427472562,0.6323419733964064,MEMORY,1363.0
1,recall,0.12522199429796632,0.6323419733964064,MEMORY,3304.0
1,episodic_simulation,0.11931906150738965,0.6323419733964064,MEMORY,130.0
1,source_memory,0.11871232541671613,0.6323419733964064,MEMORY,826.0
1,autobiographical_memory,0.1162835834658022,0.6323419733964064,MEMORY,1163.0
1,semantic_knowledge,0.11513021828565513,0.6323419733964064,MEMORY,1117.0
1,encoding_task,0.1132732074656792,0.6323419733964064,MEMORY,619.0
1,picture,0.11304616619966185,0.6323419733964064,MEMORY,2490.0
1,semantic_processing,0.10414962578836684,0.6323419733964064,MEMORY,2267.0
1,memory_process,0.10404196131882752,0.6323419733964064,MEMORY,879.0
1,spatial_memory,0.10319764494560377,0.6323419733964064,MEMORY,712.0
1,memory_retrieval,0.10137400062580533,0.6323419733964064,MEMORY,1739.0
1,semantic_information,0.10135681689367043,0.6323419733964064,MEMORY,1090.0
1,forgetting,0.09948781659087684,0.6323419733964064,MEMORY,671.0
1,longterm_memory,0.09843166893288212,0.6323419733964064,MEMORY,1601.0
1,remote_memory,0.09812348593836126,0.6323419733964064,MEMORY,143.0
2,episodic_memory,0.10859151468040634,0.5848499711836082,EPISODIC MEMORY,2958.0
2,memory,0.10479155751300663,0.5848499711836082,EPISODIC MEMORY,3220.0
2,memory_retrieval,0.09896318771656906,0.5848499711836082,EPISODIC MEMORY,1739.0
2,retrieval,0.09733079204971457,0.5848499711836082,EPISODIC MEMORY,2679.0
2,remembering,0.09709854254689036,0.5848499711836082,EPISODIC MEMORY,1938.0
2,visual_attention,0.08756105638516834,0.5848499711836082,EPISODIC MEMORY,2357.0
2,source_memory,0.08491699018807025,0.5848499711836082,EPISODIC MEMORY,826.0
2,prospection,0.0820469067384669,0.5848499711836082,EPISODIC MEMORY,338.0
2,autobiographical_memory,0.08196483082589517,0.5848499711836082,EPISODIC MEMORY,1163.0
2,recall,0.07837520643265515,0.5848499711836082,EPISODIC MEMORY,3304.0
2,spatial_attention,0.07806813552441738,0.5848499711836082,EPISODIC MEMORY,2072.0
2,encoding,0.07696532031655556,0.5848499711836082,EPISODIC MEMORY,2261.0
2,recognition_memory,0.07460248025353823,0.5848499711836082,EPISODIC MEMORY,1793.0
2,navigation,0.07378324986606997,0.5848499711836082,EPISODIC MEMORY,936.0
2,spatial_memory,0.07314558887139422,0.5848499711836082,EPISODIC MEMORY,712.0
2,visual_imagery,0.07259419022470426,0.5848499711836082,EPISODIC MEMORY,869.0
2,attention,0.07094168506466236,0.5848499711836082,EPISODIC MEMORY,4350.0
2,mental_imagery,0.07069146812633903,0.5848499711836082,EPISODIC MEMORY,1232.0
2,episodic_simulation,0.07031305804110179,0.5848499711836082,EPISODIC MEMORY,130.0
2,reaction_time,0.06939611810744611,0.5848499711836082,EPISODIC MEMORY,4775.0
2,spatial,0.06866267811838386,0.5848499711836082,EPISODIC MEMORY,4132.0
2,color,0.06768300079585714,0.5848499711836082,EPISODIC MEMORY,3320.0
2,eye,0.06689585577959925,0.5848499711836082,EPISODIC MEMORY,3174.0
2,theory_mind,0.06652187042437388,0.5848499711836082,EPISODIC MEMORY,2210.0
2,familiarity,0.06545563403731779,0.5848499711836082,EPISODIC MEMORY,2778.0
3,fear,0.2253748149966777,0.6687382097676836,EMOTION,1964.0
3,emotion,0.22490248573023908,0.6687382097676836,EMOTION,3290.0
3,facial_expression,0.19289377893059487,0.6687382097676836,EMOTION,1798.0
3,valence,0.19162499208763167,0.6687382097676836,EMOTION,2160.0
3,arousal,0.17379363811189552,0.6687382097676836,EMOTION,3524.0
3,memory,0.16396216012350553,0.6687382097676836,EMOTION,3220.0
3,emotional_memory,0.15742458328789266,0.6687382097676836,EMOTION,728.0
3,face,0.15691201703696347,0.6687382097676836,EMOTION,2240.0
3,declarative_memory,0.15152256637722095,0.6687382097676836,EMOTION,909.0
4,reward,0.3024301601435342,0.6435491663358708,REWARD,2220.0
4,reward_anticipation,0.2558346379567881,0.6435491663358708,REWARD,777.0
4,reward_processing,0.2432216335190752,0.6435491663358708,REWARD,1540.0
4,monetary_incentive_delay_task,0.18364903989390768,0.6435491663358708,REWARD,310.0
4,anticipation,0.17050551654763862,0.6435491663358708,REWARD,2860.0
4,reward_learning,0.16602912287696794,0.6435491663358708,REWARD,463.0
4,instrumental_conditioning,0.13981062238608927,0.6435491663358708,REWARD,325.0
4,addiction,0.13833480789744473,0.6435491663358708,REWARD,1437.0
4,decision_making,0.13397812913915996,0.6435491663358708,REWARD,3159.0
4,expectancy,0.13230678917972089,0.6435491663358708,REWARD,1689.0
4,loss_anticipation,0.1273057250708411,0.6435491663358708,REWARD,92.0
4,reinforcement_learning,0.12373646629240373,0.6435491663358708,REWARD,717.0
4,gambling,0.12232681890629787,0.6435491663358708,REWARD,400.0
4,feedback,0.12020028369436815,0.6435491663358708,REWARD,2419.0
4,loss,0.11290999051990193,0.6435491663358708,REWARD,3125.0
4,wanting,0.11252830328979316,0.6435491663358708,REWARD,271.0
5,reward,0.2366381293426273,0.6192894530562401,ANTICIPATION,2220.0
5,reward_processing,0.18817881849807566,0.6192894530562401,ANTICIPATION,1540.0
5,reward_anticipation,0.17830241511027645,0.6192894530562401,ANTICIPATION,777.0
5,anticipation,0.17113549916171392,0.6192894530562401,ANTICIPATION,2860.0
5,monetary_incentive_delay_task,0.15959688911503125,0.6192894530562401,ANTICIPATION,310.0
5,instrumental_conditioning,0.1260839299380635,0.6192894530562401,ANTICIPATION,325.0
6,monitoring,0.13248034039599738,0.6115758910922007,COGNITIVE,2955.0
6,arousal,0.1241570802468288,0.6115758910922007,COGNITIVE,3524.0
6,decision_making,0.11595019589686766,0.6115758910922007,COGNITIVE,3159.0
6,anticipation,0.1116017028815845,0.6115758910922007,COGNITIVE,2860.0
6,cognitive_control,0.10596099890551973,0.6115758910922007,COGNITIVE,3250.0
6,reward,0.10595098835012128,0.6115758910922007,COGNITIVE,2220.0
6,valence,0.1016227887430768,0.6115758910922007,COGNITIVE,2160.0
6,error_detection,0.09832863708964187,0.6115758910922007,COGNITIVE,1266.0
6,reaction_time,0.0971337811172664,0.6115758910922007,COGNITIVE,4775.0
