CLUSTER,TOKEN,R,ROC_AUC,DOMAIN,FREQUENCY
1,memory,0.19900353986731328,0.6558789861153353,MEMORY,3220.0
1,episodic_memory,0.17462108238177626,0.6558789861153353,MEMORY,2958.0
1,declarative_memory,0.1729327776044224,0.6558789861153353,MEMORY,909.0
1,recognition_memory,0.16234951733932065,0.6558789861153353,MEMORY,1793.0
1,remembering,0.15781265092995447,0.6558789861153353,MEMORY,1938.0
1,emotion,0.15773326557977307,0.6558789861153353,MEMORY,3290.0
1,fear,0.15327016779785751,0.6558789861153353,MEMORY,1964.0
1,recognition,0.14406646706798507,0.6558789861153353,MEMORY,2689.0
1,emotional_memory,0.14370308821747751,0.6558789861153353,MEMORY,728.0
1,encoding,0.14086712549031652,0.6558789861153353,MEMORY,2261.0
1,retrieval,0.13705284277121074,0.6558789861153353,MEMORY,2679.0
1,valence,0.13510118121689618,0.6558789861153353,MEMORY,2160.0
1,facial_expression,0.13379308909312765,0.6558789861153353,MEMORY,1798.0
1,picture,0.13213319387229086,0.6558789861153353,MEMORY,2490.0
1,recall,0.1314456163637434,0.6558789861153353,MEMORY,3304.0
1,autobiographical_memory,0.12697871267482008,0.6558789861153353,MEMORY,1163.0
1,face,0.1261043857641128,0.6558789861153353,MEMORY,2240.0
1,memory_process,0.12483576939955796,0.6558789861153353,MEMORY,879.0
1,source_memory,0.12262126553362733,0.6558789861153353,MEMORY,826.0
1,encoding_task,0.12035497847213772,0.6558789861153353,MEMORY,619.0
1,arousal,0.11983040121393734,0.6558789861153353,MEMORY,3524.0
1,episodic_simulation,0.11978544400050235,0.6558789861153353,MEMORY,130.0
2,reward,0.1886131325759381,0.625206745931942,EMOTION,2220.0
2,reward_processing,0.15082657981725536,0.625206745931942,EMOTION,1540.0
2,valence,0.1284561078759908,0.625206745931942,EMOTION,2160.0
2,reward_anticipation,0.12408082484198568,0.625206745931942,EMOTION,777.0
2,decision_making,0.12362583678878213,0.625206745931942,EMOTION,3159.0
2,autobiographical_memory,0.11168718526489516,0.625206745931942,EMOTION,1163.0
2,arousal,0.10719915702315416,0.625206745931942,EMOTION,3524.0
2,emotion,0.10658048380656376,0.625206745931942,EMOTION,3290.0
2,anticipation,0.10170655797323422,0.625206745931942,EMOTION,2860.0
2,social_cognition,0.09807467350130622,0.625206745931942,EMOTION,2554.0
2,reward_learning,0.0942115211801262,0.625206745931942,EMOTION,463.0
2,salience,0.09411973031955327,0.625206745931942,EMOTION,3622.0
2,prospection,0.09214314451457913,0.625206745931942,EMOTION,338.0
2,mood,0.09166647084889926,0.625206745931942,EMOTION,3075.0
